Nowe oferty od A do F	PL	ENG		Region	WYBIERZ	Merchant name	Start date	Średnia ilosc paczek 2022	Średnia ilosc paczek od 1-9 2023	Status 2022	Status 10.2023	Reve	Pierwszy produkt w paczce	Ile miesięcy	Waluta	Region			Koszty per pozycja	PL	PL	PL	INT	INT	INT	Razem: Suma z WARTOŚC PLN bez produktu V3	Razem: Suma z ILOSC V2 (ujednolicone magazynowanie)	Razem: Suma z SREDNIA V3			PL	EUR	Arkusze z raportu	Koszty per klient	Pozycja V4	Średnia wartość w 06'-09'23 PLN	Średnie wystąpienia w 06'-09'23	Key	Ilosc				Etykiety wierszy	Suma z Liczba SKU (SUMA z okresów 06'-09')				Key	Master reve (średnia ważona 06'-09')					Key	Logo	Tech	Stary próg	Cena	Nowy próg	Tomek			2drink	6,1			SYMBOL 	NAZWA POLSKA	NAZWA ANGIELSKA	SYMBOL 	Strefa	KRAJ	STREFA			Oferty	Score			Logo	Kod	Typ	Pozycja	Ilosc		DACH	FULL CARRIER PRICE LIST	COUNTRY - CARRIER - WEIGHT	NEW RATE	8		PLN	1			Poprzedni poziom oferty	Nowy poziom oferty
	7SFabricat	Coffeeness		INT	BilligVent	BilligFilter	2022-1	382	=WYSZUKAJ.PIONOWO(F12;Sprawdzenie!$K:$V;12;0)	1. Live	=WYSZUKAJ.PIONOWO(F12;Sprawdzenie!$B:$G;6;0)	27 779,18zł	TAK	6	EUR	=E12			Wieszak na ubrania [1 mb]	68892	1310	52,6				68891,89	1309,65	52,6						Darter180	0-499	181	39	=AI12&AJ12	=AL12				CieszeSie	29				AhojbabyFreight	13053,6525					=BD12&BE12	ArtWorks	WzStaw1	499	5,4	0 - 499				ComfortCli	1,99			AM	Armenia	Armenia	AM	="STREFA "&WYSZUKAJ.PIONOWO(BQ12;BU:BV;2;0)	Grecja	1							BeardShop	WzStawTop	WYDANIE	ile produków jest wliczonych w paczkę	0													
	Aleo	Fielmann		INT	ComfortCli	ComfortClick	2021-7	19769	=WYSZUKAJ.PIONOWO(F13;Sprawdzenie!$K:$V;12;0)	1. Live	=WYSZUKAJ.PIONOWO(F13;Sprawdzenie!$B:$G;6;0)	593 106,15zł	NIE	6	EUR	=E13			POZOSTAŁE	493719	115220	4,29	557971	33327	16,74	1051690,1	148546,99	7,08						DrZdrowie	0-499	2	1	=AI13&AJ13	=AL13				Coffeeness	220				AhojbabyHandling	3255,525					=BD13&BE13	ArtWorks	WzStaw2	9 999,00	3,1	6 000 - 9 999	500-999			DanielWell	7,03			AW	Aruba	Aruba	AW	="STREFA "&WYSZUKAJ.PIONOWO(BQ13;BU:BV;2;0)	Hiszpania	1							Barber	WzStawTop	WYDANIE	ile produków jest wliczonych w paczkę	0													
	Bizuu	MonteNativ		INT	DanielWell	Daniel Wellington	2020-05	30	=WYSZUKAJ.PIONOWO(F14;Sprawdzenie!$K:$V;12;0)	1. Live	=WYSZUKAJ.PIONOWO(F14;Sprawdzenie!$B:$G;6;0)	3 187,38zł	NIE	6	EUR	=E14			POZOSTAŁE	493719	115220	4,29	557971	33327	16,74	1051690,1	148546,99	7,08						EvelineINT	0-499	249	63	=AI14&AJ14	=AL14				ComfortCli	113371				AhojbabyMerchant Support	20,66666667					=BD14&BE14	ArtWorks	WzStawMAX	10 000,00	2,4	10 000 - 19 999				Darter180	6,82			AU	Australia	Australia	AU	="STREFA "&WYSZUKAJ.PIONOWO(BQ14;BU:BV;2;0)	Holandia	1							Biokram	WzStawTop	WYDANIE	ile produków jest wliczonych w paczkę	1													
	Brothers	Osa		INT	f14Outlery	Outlery (Factory14)	2021-12	57	=WYSZUKAJ.PIONOWO(F15;Sprawdzenie!$K:$V;12;0)	2. Churn in progress	=WYSZUKAJ.PIONOWO(F15;Sprawdzenie!$B:$G;6;0)	3 291,45zł	TAK	6	EUR	=E15			Budowanie zestawu	228	1	228	341	2	170,52	569,03	3	189,68						Fielmann	0-499	35	7	=AI15&AJ15	=AL15				DanielWell	117				AhojbabyPackaging	451,8333333					=BD15&BE15	Australian	WzStawPrg1	1 000,00	1,45	1 000 - 2 999	500-999			Dax	2,4			AT	Austria	Austria	AT	="STREFA "&WYSZUKAJ.PIONOWO(BQ15;BU:BV;2;0)	Irlandia	1							Biurotechn	WzStawTop	WYDANIE	ile produków jest wliczonych w paczkę	1													
	CieszeSie	Regen		INT	Geberich	Neoelementum	2022-10	64	=WYSZUKAJ.PIONOWO(F16;Sprawdzenie!$K:$V;12;0)	1. Live	=WYSZUKAJ.PIONOWO(F16;Sprawdzenie!$B:$G;6;0)	6 948,50zł	TAK	2	EUR	=E16			Dodatkowe - wydłużona płatność				4565	4	1141,15	4564,59	4	1141,15						FielmannCZ	0-499	788	147	=AI16&AJ16	=AL16				Darter180	393				AhojbabyWarehousing	4123,145					=BD16&BE16	Australian	WzStawPrg2	2 999,00	1,23	1 000 - 2 999				DrZdrowie	3,38			AZ	Azerbejdżan	Azerbaijan	AZ	="STREFA "&WYSZUKAJ.PIONOWO(BQ16;BU:BV;2;0)	Litwa	1							Borgio	WzStawTop	WYDANIE	ile produków jest wliczonych w paczkę	1													
	Darter180	Wunder		INT	Gemlook	Gemlook	2020-05	26	=WYSZUKAJ.PIONOWO(F17;Sprawdzenie!$K:$V;12;0)	2. Churn in progress	=WYSZUKAJ.PIONOWO(F17;Sprawdzenie!$B:$G;6;0)	5 009,85zł	NIE	6	EUR	=E17			Godzina pracy kierownika magazynu	26145	227	115,1	48738	331	147,06	74883,02	558,56	134,06						Foxyband	0-499	676	153	=AI17&AJ17	=AL17				Dax	13673				AleoFreight	0					=BD17&BE17	Australian	WzStawPrg3	9 999,00	1	6 000 - 9 999	3000-5999			Duet	3,89			BS	Bahamy	Bahamas	BS	="STREFA "&WYSZUKAJ.PIONOWO(BQ17;BU:BV;2;0)	Luksemburg	1							Blueshift	WzStawTop	WYDANIE	ile produków jest wliczonych w paczkę	1													
	Dax	Australian		INT	Himalaya	Himalaya Wellness	2022-7	798	=WYSZUKAJ.PIONOWO(F18;Sprawdzenie!$K:$V;12;0)	1. Live	=WYSZUKAJ.PIONOWO(F18;Sprawdzenie!$B:$G;6;0)	40 645,88zł	TAK	6	EUR	=E18			Godzina pracy kierownika wdrożeń	796	4	199	668	3	222,8	1464,39	7	209,2						Gemlook	0-499	44	5	=AI18&AJ18	=AL18				DrZdrowie	4				AleoHandling	0			WzStaw1	WzStawPrg1	=BD18&BE18	Australian	WzStawPrgMax	0	0,84	0 - 499				EQUILIBRE	7,95			BH	Bahrajn	Bahrain	BH	="STREFA "&WYSZUKAJ.PIONOWO(BQ18;BU:BV;2;0)	Malta	1							BlueMedia	WzStawTop	WYDANIE	ile produków jest wliczonych w paczkę	1													
	DrZdrowie	BilligVent		INT	Impossible	BondTouch	2021-10	498	=WYSZUKAJ.PIONOWO(F19;Sprawdzenie!$K:$V;12;0)	1. Live	=WYSZUKAJ.PIONOWO(F19;Sprawdzenie!$B:$G;6;0)	34 237,62zł	TAK	6	EUR	=E19			Godzina pracy magazyniera	229338	10919	21	193728	1725	112,34	423066,28	12643,25	33,46						GlobDesign	0-499	950	231	=AI19&AJ19	=AL19				EvelineINT	11252				AleoMerchant Support	0			WzStaw2	WzStawPrg2	=BD19&BE19	Balmark	WzStaw1	999	1,89	500 - 999				Evolve	5,4			BD	Bangladesz	Bangladesh	BD	="STREFA "&WYSZUKAJ.PIONOWO(BQ19;BU:BV;2;0)	Monako	1							Brandspots	WzStawTop	WYDANIE	ile produków jest wliczonych w paczkę	1													
	Duet	ComfortCli		INT	Jemyzdrowo	JemyZdrowo	2021-11	334	=WYSZUKAJ.PIONOWO(F20;Sprawdzenie!$K:$V;12;0)	1. Live	=WYSZUKAJ.PIONOWO(F20;Sprawdzenie!$B:$G;6;0)	12 156,77zł	TAK	6	EUR	=E20			Godzina pracy Opiekuna Merchanta	3333	28	119,05	51348	299	172,02	54681,55	326,5	167,48						Gruo	0-499	20	3	=AI20&AJ20	=AL20				EvelinePL	366616				AleoPackaging	0			WzStaw3	WzStawPrg3	=BD20&BE20	Balmark	WzStaw2	2 999,00	1,59	1 000 - 2 999				f14Outlery	4,72			BB	Barbados	Barbados	BB	="STREFA "&WYSZUKAJ.PIONOWO(BQ20;BU:BV;2;0)	Niemcy	1							Countable	WzStawTop	WYDANIE	ile produków jest wliczonych w paczkę	1													
	Elevate	DanielWell		INT	Kamedis	Kamedis	2020-08	20	=WYSZUKAJ.PIONOWO(F21;Sprawdzenie!$K:$V;12;0)	1. Live	=WYSZUKAJ.PIONOWO(F21;Sprawdzenie!$B:$G;6;0)	18 891,31zł	NIE	6	EUR	=E21			Godzina pracy programisty	-34	3	-11,19				-33,57	3	-11,19						Gugu	0-499	5	2	=AI21&AJ21	=AL21				Fielmann	13524				AleoWarehousing	0			WzStaw4	WzStawPrg4	=BD21&BE21	Balmark	WzStaw3	9 999,00	1,39	6 000 - 9 999	3000-5999			Fielmann	3,98			BE	Belgia	Belgium	BE	="STREFA "&WYSZUKAJ.PIONOWO(BQ21;BU:BV;2;0)	Portugalia	1							Dabadam	WzStawTop	WYDANIE	ile produków jest wliczonych w paczkę	1													
	ESprit	f14Outlery		INT	Longvadon	Longvadon	2022-03	215	=WYSZUKAJ.PIONOWO(F22;Sprawdzenie!$K:$V;12;0)	1. Live	=WYSZUKAJ.PIONOWO(F22;Sprawdzenie!$B:$G;6;0)	13 106,78zł	TAK	6	EUR	=E22			Grawerowanie [szt]				11931	6628	1,8	11931,22	6628	1,8						HomeSpot	0-499	633	113	=AI22&AJ22	=AL22				FielmannCZ	1969				"ArtWorks
Re-invoice"	0			WzStaw5	WzStawPrg5	=BD22&BE22	Balmark	WzStawMAX	10 000,00	1,29	10 000 - 19 999				FielmannCZ	4,3			BZ	Belize	Belize	BZ	="STREFA "&WYSZUKAJ.PIONOWO(BQ22;BU:BV;2;0)	Rumunia	1							DomKsiegow	WzStawTop	WYDANIE	ile produków jest wliczonych w paczkę	1													
	Evolve	Geberich		INT	Love&live	Love&live	2020-12	507	=WYSZUKAJ.PIONOWO(F23;Sprawdzenie!$K:$V;12;0)	1. Live	=WYSZUKAJ.PIONOWO(F23;Sprawdzenie!$B:$G;6;0)	19 869,62zł	NIE	6	PLN	=E23			Inwentaryzacja [szt.]	42446	103717	0,41	6269	24112	0,26	48714,62	127829	0,38						HunterGath	0-499	79	15	=AI23&AJ23	=AL23				Forhumans	1995				ArtWorksAdvance	0			WzStaw6	WzStawPrg6	=BD23&BE23	Barboza	WzStaw1	999	1,69	500 - 999				Forhumans	7,96			BJ	Benin	Benin	BJ	="STREFA "&WYSZUKAJ.PIONOWO(BQ23;BU:BV;2;0)	Szwecja	1							DialCom24	WzStawTop	WYDANIE	ile produków jest wliczonych w paczkę	1													
	FPBrand	Gemlook		INT	MagicBird	MagicBird	2021-11	0	=WYSZUKAJ.PIONOWO(F24;Sprawdzenie!$K:$V;12;0)	1. Live	=WYSZUKAJ.PIONOWO(F24;Sprawdzenie!$B:$G;6;0)	16 437,46zł	TAK	6	EUR	=E24			Minimalna kwota faktury - rabat 50% [umowa terminowa]	-2237	1	-2236,56	-157	1	-156,87	-2393,43	2	-1196,72						Jemyzdrowo	0-499	214	162	=AI24&AJ24	=AL24				Foxyband	1468				ArtWorksFreight	13128,3425			WzStaw7	WzStawPrg7	=BD24&BE24	Barboza	WzStaw2	2 999,00	1,59	1 000 - 2 999				FPBrand	3,21			BM	Bermudy	Bermuda	BM	="STREFA "&WYSZUKAJ.PIONOWO(BQ24;BU:BV;2;0)	Słowacja	1							Darter180	WzStawTop	WYDANIE	ile produków jest wliczonych w paczkę	0													
	GlobDesign	Himalaya		INT	NanoShower	NanoShower	2022-10	17	=WYSZUKAJ.PIONOWO(F25;Sprawdzenie!$K:$V;12;0)	1. Live	=WYSZUKAJ.PIONOWO(F25;Sprawdzenie!$B:$G;6;0)	1 084,50zł	TAK	4	EUR	=E25			Minimalna kwota faktury [umowa terminowa]	4473	1	4473,11	2236	5	447,15	6708,86	6	1118,14						Kiekkotorn	0-499	197	43	=AI25&AJ25	=AL25				FPBrand	19165				ArtWorksHandling	7437,9875			WzStaw8	WzStawPrg8	=BD25&BE25	Barboza	WzStaw3	9 999,00	1,39	6 000 - 9 999				Geberich	7,96			BT	Bhutan	Bhutan	BT	="STREFA "&WYSZUKAJ.PIONOWO(BQ25;BU:BV;2;0)	Słowenia	1							DPD	WzStawTop	WYDANIE	ile produków jest wliczonych w paczkę	1													
	Gruo	Impossible		INT	Nordic	Aavalabs	2020-05	1311	=WYSZUKAJ.PIONOWO(F26;Sprawdzenie!$K:$V;12;0)	1. Live	=WYSZUKAJ.PIONOWO(F26;Sprawdzenie!$B:$G;6;0)	144 918,23zł	NIE	6	EUR	=E26			Minimalna opłata miesięczna	31943	15	2129,54	88682	27	3284,51	120624,79	42	2872,02						KMA	0-499	225	33	=AI26&AJ26	=AL26				Geberich	15662				ArtWorksIT Services	19,96			WzStawMAX	WzStawPrgMax	=BD26&BE26	Barboza	WzStawMAX	10 000,00	1,29	10 000 - 19 999				Gemlook	7,04			BY	Białoruś	Belarus	BY	="STREFA "&WYSZUKAJ.PIONOWO(BQ26;BU:BV;2;0)	Węgry	1							EasyShip	WzStawTop	WYDANIE	ile produków jest wliczonych w paczkę	1													
	Hempoland	Jemyzdrowo		INT	NuviaLab	NuviaLab		0	=WYSZUKAJ.PIONOWO(F27;Sprawdzenie!$K:$V;12;0)	1. Live	=WYSZUKAJ.PIONOWO(F27;Sprawdzenie!$B:$G;6;0)	10 678,00zł	TAK	1	EUR	=E27			old->Opiekun Merchanta - opłata ryczałtowa wg progu 1	2236	4	559,03				2236,12	4	559,03						LefleoPL	0-499	698	163	=AI27&AJ27	=AL27				Gemlook	21				ArtWorksMerchant Support	35,64					=BD27&BE27	BilligVent	WzStaw1	999	1,89	500 - 999				GlobDesign	3,81			BO	Boliwia	Bolivia	BO	="STREFA "&WYSZUKAJ.PIONOWO(BQ27;BU:BV;2;0)	Włochy	1							ESprit	WzStawTop	WYDANIE	ile produków jest wliczonych w paczkę	1													
	Klarta	Kamedis		INT	OryxIsles	Oryxisles	2022-11	1	=WYSZUKAJ.PIONOWO(F28;Sprawdzenie!$K:$V;12;0)	1. Live	=WYSZUKAJ.PIONOWO(F28;Sprawdzenie!$B:$G;6;0)	928,50zł	TAK	4	EUR	=E28			Opiekun Merchanta - opłata ryczałtowa	136856	120	1140,47	81280	53	1533,59	218136,66	173	1260,91						LEVANN	0-499	12	3	=AI28&AJ28	=AL28				GlobDesign	7902				ArtWorksPackaging	548,065					=BD28&BE28	BilligVent	WzStaw2	2 999,00	1,59	1 000 - 2 999				Gruo	5,4			BQ	Bonaire, Sint Eustatius i Saba	Bonaire, Sint Eustatius and Saba	BQ	="STREFA "&WYSZUKAJ.PIONOWO(BQ28;BU:BV;2;0)	Łotwa	1							ErgoHestia	WzStawTop	WYDANIE	ile produków jest wliczonych w paczkę	1													
	KlaudynaHe	Longvadon		INT	PerfectPur	Perfect Pure	2022-8	9	=WYSZUKAJ.PIONOWO(F29;Sprawdzenie!$K:$V;12;0)	1. Live	=WYSZUKAJ.PIONOWO(F29;Sprawdzenie!$B:$G;6;0)	1 038,25zł	TAK	4	EUR	=E29			Opiekun Merchanta - opłata za nadanie errorów	17837	157	113,4	17827	127	139,94	35663,79	284,68	125,28						Longvadon	0-499	564	106	=AI29&AJ29	=AL29				Gruo	16				ArtWorksWarehousing	8100,93					=BD29&BE29	BilligVent	WzStaw3	9 999,00	1,39	6 000 - 9 999				Hempoland	4,58			BA	Bośnia i Hercegowina	Bosnia and Herzegovina	BA	="STREFA "&WYSZUKAJ.PIONOWO(BQ29;BU:BV;2;0)	Andora	2							ETOP	WzStawTop	WYDANIE	ile produków jest wliczonych w paczkę	1													
	Koruma	Love&live		INT	Smartware	Mifo	2022-6	7	=WYSZUKAJ.PIONOWO(F30;Sprawdzenie!$K:$V;12;0)	1. Live	=WYSZUKAJ.PIONOWO(F30;Sprawdzenie!$B:$G;6;0)	3 875,00zł	TAK	6	EUR	=E30			Project Management [ryczałt/miesiąc]				50360	8	6294,99	50359,88	8	6294,99						Mirakulina	0-499	301	70	=AI30&AJ30	=AL30				Gugu	10448				AustralianFreight	93627,4025					=BD30&BE30	BilligVent	WzStawMAX	10 000,00	1,29	10 000 - 19 999				Himalaya	6,99			BW	Botswana	Botswana	BW	="STREFA "&WYSZUKAJ.PIONOWO(BQ30;BU:BV;2;0)	Gibraltar	2							EYork	WzStawTop	WYDANIE	ile produków jest wliczonych w paczkę	1													
	LaMania	MagicBird		INT	Strumpi	Playpausebe	2022-04	190	=WYSZUKAJ.PIONOWO(F31;Sprawdzenie!$K:$V;12;0)	1. Live	=WYSZUKAJ.PIONOWO(F31;Sprawdzenie!$B:$G;6;0)	4 648,33zł	TAK	6	EUR	=E31			Refaktura - materiały				154	2	77,09	154,18	2	77,09						MonteNativ	0-499	183	49	=AI31&AJ31	=AL31				Hell-Trade	9				AustralianHandling	39594,265					=BD31&BE31	Bizuu	WzStaw1	799	3,88	500 - 999				HunterGath	8,06			BR	Brazylia	Brazil	BR	="STREFA "&WYSZUKAJ.PIONOWO(BQ31;BU:BV;2;0)	Guernsey	2							Fachowcy	WzStawTop	WYDANIE	ile produków jest wliczonych w paczkę	1													
